T_Bottom,Time,X,Y,Temp(degC)
100,2.5,0,0.42,99.88752782
100,2.5,0,0.44,99.88302434
100,2.5,0,0.46,99.87862753
100,2.5,0,0.48,99.87433741
100,2.5,0,0.5,99.87015396
100,2.5,0,0.52,99.86607719
100,2.5,0,0.54,99.86180893
100,2.5,0,0.56,99.85756816
100,2.5,0,0.58,99.85335488
100,2.5,0,0.6,99.84916909
100,2.5,0,0.62,99.8450108
100,2.5,0,0.64,99.84088
100,2.5,0,0.66,99.83677669
100,2.5,0,0.68,99.83270087
100,2.5,0,0.7,99.82865255
100,2.5,0,0.72,99.82463172
100,2.5,0,0.74,99.82063838
100,2.5,0,0.76,99.81667253
100,2.5,0,0.78,99.81273418
100,2.5,0,0.8,99.80882332
100,2.5,0,0.82,99.80493995
100,2.5,0,0.84,99.80108407
100,2.5,0,0.86,99.79725569
100,2.5,0,0.88,99.7934548
100,2.5,0,0.9,99.7896814
100,2.5,0,0.92,99.7859355
100,2.5,0,0.94,99.78221708
100,2.5,0,0.96,99.77852616
100,2.5,0,0.98,99.77486274
100,2.5,0,1,99.7712268
100,2.5,0,1.02,99.76761836
100,2.5,0,1.04,99.76401474
100,2.5,0,1.06,99.76042781
100,2.5,0,1.08,99.75685755
100,2.5,0,1.1,99.75330398
100,2.5,0,1.12,99.74976709
100,2.5,0,1.14,99.74624688
100,2.5,0,1.16,99.74274335
100,2.5,0,1.18,99.7392565
100,2.5,0,1.2,99.73578633
100,2.5,0,1.22,99.73233285
100,2.5,0,1.24,99.72889605
100,2.5,0,1.26,99.72547593
100,2.5,0,1.28,99.72207249
100,2.5,0,1.3,99.71868573
100,2.5,0,1.32,99.71531566
100,2.5,0,1.34,99.71196226
100,2.5,0,1.36,99.70862555
100,2.5,0,1.38,99.70530552
100,2.5,0,1.4,99.70200217
100,2.5,0,1.42,99.6987155
100,2.5,0,1.44,99.69544552
100,2.5,0,1.46,99.69219221
100,2.5,0,1.48,99.68895559
100,2.5,0,1.5,99.68573565
100,2.5,0,1.52,99.68253239
100,2.5,0,1.54,99.67933818
100,2.5,0,1.56,99.676156
100,2.5,0,1.58,99.67298587
100,2.5,0,1.6,99.66982778
100,2.5,0,1.62,99.66668173
100,2.5,0,1.64,99.66354772
100,2.5,0,1.66,99.66042575
100,2.5,0,1.68,99.65731583
100,2.5,0,1.7,99.65421794
100,2.5,0,1.72,99.6511321
100,2.5,0,1.74,99.64805829
100,2.5,0,1.76,99.64499653
100,2.5,0,1.78,99.63890913
100,2.5,0,1.8,99.63588349
100,2.5,0,1.82,99.6328699
100,2.5,0,1.84,99.62986834
100,2.5,0,1.86,99.62687883
100,2.5,0,1.88,99.62390135
100,2.5,0,1.9,99.62093592
100,2.5,0,1.92,99.61798253
100,2.5,0,1.94,99.61504118
100,2.5,0,1.96,99.61211187
100,2.5,0,1.98,99.6091946
100,2.5,0,2,99.60628937
100,3,0,0.02,100
100,3,0,0.04,99.99332744
100,3,0,0.06,99.98676158
100,3,0,0.08,99.9803024
100,3,0,0.1,99.97394992
100,3,0,0.12,99.96770412
100,3,0,0.14,99.96156502
100,3,0,0.16,99.95553261
100,3,0,0.18,99.94960689
100,3,0,0.2,99.94378786
100,3,0,0.22,99.93807552
100,3,0,0.24,99.93246987
100,3,0,0.26,99.92697092
100,3,0,0.28,99.92157865
100,3,0,0.3,99.91629308
100,3,0,0.32,99.91111419
100,3,0,0.34,99.906042
100,3,0,0.36,99.9010765
100,3,0,0.38,99.89621769
100,3,0,0.4,99.89146557
100,3,0,0.42,99.88682014
100,3,0,0.44,99.88228141
100,3,0,0.46,99.87784936
100,3,0,0.48,99.87352401
100,3,0,0.5,99.86930534
100,3,0,0.52,99.86519337
100,3,0,0.54,99.86088992
100,3,0,0.56,99.856614
100,3,0,0.58,99.85236561
100,3,0,0.6,99.84814475
100,3,0,0.62,99.84395142
100,3,0,0.64,99.83978562
100,3,0,0.66,99.83564734
100,3,0,0.68,99.8315366
100,3,0,0.7,99.82745338
100,3,0,0.72,99.82339769
100,3,0,0.74,99.81936954
100,3,0,0.76,99.81536891
100,3,0,0.78,99.81139581
100,3,0,0.8,99.80745023
100,3,0,0.82,99.80353219
100,3,0,0.84,99.79964168
100,3,0,0.86,99.79577869
100,3,0,0.88,99.79194324
100,3,0,0.9,99.78813531
100,3,0,0.92,99.78435491
100,3,0,0.94,99.78060204
100,3,0,0.96,99.7768767
100,3,0,0.98,99.77317889
100,3,0,1,99.76950861
100,3,0,1.02,99.76586586
100,3,0,1.04,99.76222798
100,3,0,1.06,99.75860684
100,3,0,1.08,99.75500244
100,3,0,1.1,99.75141478
100,3,0,1.12,99.74784387
100,3,0,1.14,99.7442897
100,3,0,1.16,99.74075227
100,3,0,1.18,99.73723158
100,3,0,1.2,99.73372763
100,3,0,1.22,99.73024042
100,3,0,1.24,99.72676995
100,3,0,1.26,99.72331623
100,3,0,1.28,99.71987925
100,3,0,1.3,99.71645901
100,3,0,1.32,99.7130555
100,3,0,1.34,99.70966875
100,3,0,1.36,99.70629873
100,3,0,1.38,99.70294545
100,3,0,1.4,99.69960892
100,3,0,1.42,99.69628912
100,3,0,1.44,99.69298607
100,3,0,1.46,99.68969976
100,3,0,1.48,99.68643019
100,3,0,1.5,99.68317737
100,3,0,1.52,99.67994128
100,3,0,1.54,99.67671431
100,3,0,1.56,99.67349947
100,3,0,1.58,99.67029675
100,3,0,1.6,99.66710615
100,3,0,1.62,99.66392767
100,3,0,1.64,99.66076132
100,3,0,1.66,99.6576071
100,3,0,1.68,99.65446499
100,3,0,1.7,99.65133501
100,3,0,1.72,99.64821716
100,3,0,1.74,99.64511142
100,3,0,1.76,99.64201781
100,3,0,1.78,99.63586696
100,3,0,1.8,99.63280972
100,3,0,1.82,99.62976461
100,3,0,1.84,99.62673161
100,3,0,1.86,99.62371074
100,3,0,1.88,99.620702
100,3,0,1.9,99.61770538
100,3,0,1.92,99.61472088
100,3,0,1.94,99.6117485
100,3,0,1.96,99.60878825
100,3,0,1.98,99.60584012
100,3,0,2,99.60290412
100,3.5,0,0.02,100
100,3.5,0,0.04,99.9933295
100,3.5,0,0.06,99.9867657
100,3.5,0,0.08,99.98030858
100,3.5,0,0.1,99.97395816
100,3.5,0,0.12,99.96771442
100,3.5,0,0.14,99.96157738
100,3.5,0,0.16,99.95554703
100,3.5,0,0.18,99.94962336
100,3.5,0,0.2,99.94380639
100,3.5,0,0.22,99.93809611
100,3.5,0,0.24,99.93249251
100,3.5,0,0.26,99.92699561
100,3.5,0,0.28,99.9216054
100,3.5,0,0.3,99.91632188
100,3.5,0,0.32,99.91114505
100,3.5,0,0.34,99.9060749
100,3.5,0,0.36,99.90111145
100,3.5,0,0.38,99.89625469
100,3.5,0,0.4,99.89150462
100,3.5,0,0.42,99.88686124
100,3.5,0,0.44,99.88232455
100,3.5,0,0.46,99.87789455
100,3.5,0,0.48,99.87357124
100,3.5,0,0.5,99.86935462
100,3.5,0,0.52,99.8652447
100,3.5,0,0.54,99.86094329
100,3.5,0,0.56,99.85666941
100,3.5,0,0.58,99.85242306
100,3.5,0,0.6,99.84820424
100,3.5,0,0.62,99.84401294
100,3.5,0,0.64,99.83984917
100,3.5,0,0.66,99.83571293
100,3.5,0,0.68,99.83160421
100,3.5,0,0.7,99.82752302
100,3.5,0,0.72,99.82346935
100,3.5,0,0.74,99.81944322
100,3.5,0,0.76,99.81544461
100,3.5,0,0.78,99.81147352
100,3.5,0,0.8,99.80752997
100,3.5,0,0.82,99.80361393
100,3.5,0,0.84,99.79972543
100,3.5,0,0.86,99.79586445
